frame,sequence,index,driver_timestamp_ns,dq_monotonic_ns,bytesused,inter_frame_ms,sequence_gap,flags
0,0,0,8052729373000,8052729886760,3110400,0.000,0,0x2001
1,1,1,8052763206000,8052763587389,3110400,33.833,0,0x2001
2,2,2,8052796264000,8052796646350,3110400,33.058,0,0x2001
3,3,3,8052829548000,8052829930187,3110400,33.284,0,0x2001
4,4,0,8052862510000,8052863214899,3110400,32.962,0,0x2001
5,5,1,8052895790000,8052896496402,3110400,33.280,0,0x2001
6,6,2,8052929072000,8052929777030,3110400,33.282,0,0x2001
7,7,3,8052962357000,8052963081575,3110400,33.285,0,0x2001
8,8,0,8052995641000,8052996346454,3110400,33.284,0,0x2001
9,9,1,8053028924000,8053029632040,3110400,33.283,0,0x2001
10,10,2,8053062536000,8053062920835,3110400,33.612,0,0x2001
11,11,3,8053095816000,8053096200589,3110400,33.280,0,0x2001
12,12,0,8053129101000,8053129482675,3110400,33.285,0,0x2001
13,13,1,8053162381000,8053162765929,3110400,33.280,0,0x2001
14,14,2,8053195341000,8053196051515,3110400,32.960,0,0x2001
15,15,3,8053228953000,8053229335352,3110400,33.612,0,0x2001
16,16,0,8053261913000,8053262621814,3110400,32.960,0,0x2001
17,17,1,8053295522000,8053295905942,3110400,33.609,0,0x2001
18,18,2,8053328474000,8053329183362,3110400,32.952,0,0x2001
19,19,3,8053361759000,8053362463990,3110400,33.285,0,0x2001
20,20,0,8053395367000,8053395748994,3110400,33.608,0,0x2001
21,21,1,8053428658000,8053429037497,3110400,33.291,0,0x2001
22,22,2,8053461612000,8053462314042,3110400,32.954,0,0x2001
23,23,3,8053495218000,8053495600212,3110400,33.606,0,0x2001
24,24,0,8053528506000,8053528889007,3110400,33.288,0,0x2001
25,25,1,8053561461000,8053562164094,3110400,32.955,0,0x2001
26,26,2,8053595072000,8053595453472,3110400,33.611,0,0x2001
27,27,3,8053628031000,8053628733809,3110400,32.959,0,0x2001
28,28,0,8053661315000,8053662022021,3110400,33.284,0,0x2001
29,29,1,8053694923000,8053695305274,3110400,33.608,0,0x2001
30,30,2,8053728210000,8053728592319,3110400,33.287,0,0x2001
31,31,3,8053761491000,8053761872656,3110400,33.281,0,0x2001
32,32,0,8053794444000,8053795154451,3110400,32.953,0,0x2001
33,33,1,8053828052000,8053828432454,3110400,33.608,0,0x2001
34,34,2,8053861333000,8053861715416,3110400,33.281,0,0x2001
35,35,3,8053894623000,8053895002752,3110400,33.290,0,0x2001
36,36,0,8053927908000,8053928290089,3110400,33.285,0,0x2001
37,37,1,8053961188000,8053961568967,3110400,33.280,0,0x2001
38,38,2,8053994469000,8053994849596,3110400,33.281,0,0x2001
39,39,3,8054027756000,8054028135766,3110400,33.287,0,0x2001
40,40,0,8054061033000,8054061413186,3110400,33.277,0,0x2001
41,41,1,8054094000000,8054094706647,3110400,32.967,0,0x2001
42,42,2,8054127608000,8054127989901,3110400,33.608,0,0x2001
43,43,3,8054160568000,8054161273446,3110400,32.960,0,0x2001
44,44,0,8054193848000,8054194551449,3110400,33.280,0,0x2001
45,45,1,8054227461000,8054227843744,3110400,33.613,0,0x2001
46,46,2,8054260739000,8054261119122,3110400,33.278,0,0x2001
47,47,3,8054293700000,8054294407626,3110400,32.961,0,0x2001
48,48,0,8054327312000,8054327692921,3110400,33.612,0,0x2001
49,49,1,8054360595000,8054360977341,3110400,33.283,0,0x2001
50,50,2,8054393880000,8054394261469,3110400,33.285,0,0x2001
51,51,3,8054427158000,8054427537431,3110400,33.278,0,0x2001
52,52,0,8054460121000,8054460829142,3110400,32.963,0,0x2001
53,53,1,8054493730000,8054494110937,3110400,33.609,0,0x2001
54,54,2,8054527011000,8054527392149,3110400,33.281,0,0x2001
55,55,3,8054559969000,8054560674528,3110400,32.958,0,0x2001
56,56,0,8054593579000,8054593961864,3110400,33.610,0,0x2001
57,57,1,8054626534000,8054627237826,3110400,32.955,0,0x2001
58,58,2,8054660147000,8054660527204,3110400,33.613,0,0x2001
59,59,3,8054693104000,8054693812499,3110400,32.957,0,0x2001
60,60,0,8054726712000,8054727091086,3110400,33.608,0,0x2001
61,61,1,8054759669000,8054760376673,3110400,32.957,0,0x2001
62,62,2,8054793283000,8054793664009,3110400,33.614,0,0x2001
63,63,3,8054826559000,8054826939679,3110400,33.276,0,0x2001
64,64,0,8054859519000,8054860229058,3110400,32.960,0,0x2001
65,65,1,8054893131000,8054893512019,3110400,33.612,0,0x2001
66,66,2,8054926087000,8054926791481,3110400,32.956,0,0x2001
67,67,3,8054959368000,8054960074151,3110400,33.281,0,0x2001
68,68,0,8054992984000,8054993365571,3110400,33.616,0,0x2001
69,69,1,8055025938000,8055026640658,3110400,32.954,0,0x2001
70,70,2,8055059220000,8055059927119,3110400,33.282,0,0x2001
71,71,3,8055092834000,8055093217664,3110400,33.614,0,0x2001
72,72,0,8055126117000,8055126500043,3110400,33.283,0,0x2001
73,73,1,8055159398000,8055159779213,3110400,33.281,0,0x2001
