frame,sequence,index,driver_timestamp_ns,dq_monotonic_ns,bytesused,inter_frame_ms,sequence_gap,flags
0,0,0,8277967925000,8277968418517,3110400,0.000,0,0x2001
1,1,1,8278001771000,8278002162312,3110400,33.846,0,0x2001
2,2,2,8278034824000,8278035218649,3110400,33.053,0,0x2001
3,3,3,8278067777000,8278068506277,3110400,32.953,0,0x2001
4,4,0,8278101391000,8278101754822,3110400,33.614,0,0x2001
5,5,1,8278134675000,8278135082992,3110400,33.284,0,0x2001
6,6,2,8278167966000,8278168331245,3110400,33.291,0,0x2001
7,7,3,8278200910000,8278201641915,3110400,32.944,0,0x2001
8,8,0,8278234191000,8278234922252,3110400,33.281,0,0x2001
9,9,1,8278267810000,8278268224464,3110400,33.619,0,0x2001
10,10,2,8278301092000,8278301461050,3110400,33.282,0,0x2001
11,11,3,8278334046000,8278334751887,3110400,32.954,0,0x2001
12,12,0,8278367328000,8278368060224,3110400,33.282,0,0x2001
13,13,1,8278400945000,8278401379935,3110400,33.617,0,0x2001
14,14,2,8278434233000,8278434625272,3110400,33.288,0,0x2001
15,15,3,8278467179000,8278467950817,3110400,32.946,0,0x2001
16,16,0,8278500463000,8278501196445,3110400,33.284,0,0x2001
17,17,1,8278533747000,8278534515865,3110400,33.284,0,0x2001
18,18,2,8278567365000,8278567785994,3110400,33.618,0,0x2001
19,19,3,8278600316000,8278601062247,3110400,32.951,0,0x2001
20,20,0,8278633933000,8278634300292,3110400,33.617,0,0x2001
21,21,1,8278667214000,8278667607754,3110400,33.281,0,0x2001
22,22,2,8278700502000,8278700871465,3110400,33.288,0,0x2001
23,23,3,8278733450000,8278734179510,3110400,32.948,0,0x2001
24,24,0,8278767066000,8278767464805,3110400,33.616,0,0x2001
25,25,1,8278800350000,8278800762934,3110400,33.284,0,0x2001
26,26,2,8278833634000,8278834001854,3110400,33.284,0,0x2001
27,27,3,8278866919000,8278867293857,3110400,33.285,0,0x2001
28,28,0,8278900202000,8278900569819,3110400,33.283,0,0x2001
29,29,1,8278933151000,8278933872322,3110400,32.949,0,0x2001
30,30,2,8278966431000,8278967128451,3110400,33.280,0,0x2001
31,31,3,8278999718000,8279000427162,3110400,33.287,0,0x2001
32,32,0,8279033337000,8279033700499,3110400,33.619,0,0x2001
33,33,1,8279066617000,8279066985502,3110400,33.280,0,0x2001
34,34,2,8279099567000,8279100270214,3110400,32.950,0,0x2001
35,35,3,8279132848000,8279133562217,3110400,33.281,0,0x2001
36,36,0,8279166472000,8279166850721,3110400,33.624,0,0x2001
37,37,1,8279199418000,8279200118807,3110400,32.946,0,0x2001
38,38,2,8279232702000,8279233440561,3110400,33.284,0,0x2001
39,39,3,8279265977000,8279266707772,3110400,33.275,0,0x2001
40,40,0,8279299270000,8279299969151,3110400,33.293,0,0x2001
41,41,1,8279332887000,8279333301696,3110400,33.617,0,0x2001
42,42,2,8279366169000,8279366562782,3110400,33.282,0,0x2001
43,43,3,8279399454000,8279399857702,3110400,33.285,0,0x2001
44,44,0,8279432737000,8279433108581,3110400,33.283,0,0x2001
