elapsed_s,proc_ticks,rss_kb,pss_kb,fd_count,soc_temp_mC,cma_free_kB
0,1,5240,4173,7,63888,13264
60,86,5240,9675,9,60555,13264
120,167,10824,9731,9,60555,13264
180,248,10824,9787,9,60555,13264
240,330,10824,9843,9,61111,13264
300,413,10824,9899,9,61111,13264
360,493,10824,9955,9,61111,13264
420,575,11088,10011,9,61666,13264
480,657,11088,10067,9,61666,13264
540,738,11088,10123,9,61666,13264
600,820,11088,10179,9,61666,13264
660,900,11088,10235,9,61666,13264
720,983,11352,10295,9,61666,13264
780,1064,11352,10351,9,61666,13264
840,1145,11352,10407,9,61666,13264
900,1226,11352,10463,9,61666,13264
960,1308,11616,10517,9,61666,13264
1020,1391,11616,10575,9,61666,13264
1080,1473,11616,10631,9,61666,13264
1140,1554,11616,10687,9,61666,13264
1200,1636,11616,10743,9,61666,13264
1260,1717,11880,10799,9,61666,13264
1320,1799,11880,10855,9,61666,13264
1380,1879,11880,10915,9,61666,13264
1440,1961,11880,10971,9,61666,13264
1500,2044,11880,11027,9,62222,13264
1560,2124,12144,11083,9,61666,13264
1620,2205,12144,11139,9,62222,13264
1681,2286,12144,11195,9,61666,13264
1741,2366,12144,11251,9,61666,13264
1801,2447,12408,11307,9,61666,13264
1861,2528,12408,11363,9,61666,13264
1921,2610,12408,11419,9,61666,13264
1981,2690,12408,11475,9,61666,13264
2041,2770,12408,11535,9,62222,13264
2101,2851,12672,11591,9,61666,13264
2161,2931,12672,11647,9,61666,13264
2221,3012,12672,11703,9,61666,13264
2281,3094,12672,11759,9,61666,13264
2341,3178,12672,11815,9,61666,13264
2401,3259,12936,11871,9,61666,13264
2461,3341,12936,11927,9,61666,13264
2521,3423,12936,11983,9,61666,13264
2581,3503,12936,12039,9,62222,13264
2641,3587,13200,12095,9,61666,13264
2701,3668,13200,12155,9,61666,13264
2761,3749,13200,12211,9,61666,13264
2821,3830,13200,12267,9,62222,13264
2881,3912,13200,12323,9,62222,13264
2941,3993,13464,12379,9,62222,13264
3001,4076,13464,12435,9,62222,13264
3061,4156,13464,12491,9,62222,13264
3121,4236,13464,12547,9,62222,13264
3181,4318,13464,12603,9,62222,13264
3241,4398,13728,12659,9,62222,13264
3301,4481,13728,12715,9,62222,13264
3361,4563,13728,12775,9,62222,13264
3421,4644,13728,12831,9,62222,13264
3481,4726,13992,12887,9,62777,13264
3541,4809,13992,12943,9,62222,13264
3601,4890,13992,12999,9,62222,13264
3662,4973,13992,13055,9,62777,13264
3722,5053,13992,13111,9,62777,13264
3782,5133,14256,13167,9,62222,13264
3842,5215,14256,13223,9,62777,13264
3902,5297,14256,13279,9,62777,13264
3962,5377,14256,13335,9,62777,13264
4022,5460,14256,13395,9,62222,13264
4082,5540,14520,13451,9,62222,13264
4142,5621,14520,13507,9,62777,13264
4202,5704,14520,13563,9,62777,13264
4262,5787,14520,13619,9,62777,13264
4322,5867,14784,13675,9,62777,13264
4382,5949,14784,13731,9,62777,13264
4442,6030,14784,13787,9,62222,13264
4502,6111,14784,13843,9,62222,13264
4562,6193,14784,13899,9,62222,13264
4622,6275,15048,13955,9,62222,13264
4682,6355,15048,14015,9,62222,13264
4742,6436,15048,14071,9,61666,13264
4802,6518,15048,14127,9,62222,13264
4862,6600,15048,14183,9,61666,13264
4922,6682,15312,14239,9,61666,13264
4982,6765,15312,14295,9,62222,13264
5042,6845,15312,14351,9,61666,13264
5102,6926,15312,14407,9,62222,13264
5162,7007,15312,14463,9,61111,13264
5222,7089,15576,14519,9,60000,13264
5282,7171,15576,14575,9,60000,13264
5342,7252,15576,14635,9,59444,13264
5402,7331,15576,14691,9,59444,13264
5462,7413,15840,14747,9,59444,13264
5522,7494,15840,14803,9,59444,13264
5582,7574,15840,14859,9,59444,13264
5643,7655,15840,14915,9,58333,13264
5703,7739,15840,14971,9,58333,13264
5763,7819,16104,15027,9,58333,13264
5823,7900,16104,15083,9,57777,13264
5883,7982,16104,15139,9,58333,13264
5943,8062,16104,15195,9,58333,13264
6003,8144,16104,15255,9,58888,13264
6063,8224,16368,15311,9,58888,13264
6123,8305,16368,15367,9,58888,13264
6183,8386,16368,15423,9,59444,13264
6243,8468,16368,15479,9,59444,13264
6303,8548,16632,15535,9,59444,13264
6363,8628,16632,15591,9,59444,13264
6423,8708,16632,15646,9,59444,13264
6483,8791,16632,15703,9,58888,13264
6543,8872,16632,15759,9,58333,13264
6603,8952,16896,15815,9,58888,13264
6663,9034,16896,15875,9,59444,13264
6723,9116,16896,15931,9,60555,13264
6783,9196,16896,15987,9,60555,13264
6843,9276,16896,16043,9,60555,13264
6903,9356,17160,16099,9,61111,13264
6963,9438,17160,16155,9,61111,13264
7023,9518,17160,16211,9,61111,13264
7083,9600,17160,16267,9,61111,13264
7143,9680,17424,16323,9,61666,13264
7203,9761,17424,16379,9,61666,13264
