# tracer: function
#
# entries-in-buffer/entries-written: 1218/1218   #P:4
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
 drm_v4l2_pipeli-26821   [001] .... 38956.833175: drm_atomic_commit <-drm_mode_atomic_ioctl
 drm_v4l2_pipeli-26821   [001] .... 38956.833233: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          apport-26804   [000] d.h. 38956.944049: vb2_buffer_done <-rkisp_stats_send_meas_v21
 xc:isp_3a_stats-26260   [000] ..s. 38956.944121: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [001] .... 38956.944650: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          apport-26804   [000] d.h. 38956.977328: vb2_buffer_done <-rkisp_stats_send_meas_v21
          apport-26804   [000] dNh. 38956.977591: vb2_buffer_done <-rkisp_params_cfg_v2x
          apport-26804   [000] dNh. 38956.977831: vb2_buffer_done <-rkisp_params_cfg_v2x
 xc:isp_3a_stats-26260   [000] ..s. 38956.977889: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [001] .... 38956.978896: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          apport-26804   [000] d.h. 38957.010618: vb2_buffer_done <-rkisp_stats_send_meas_v21
          apport-26804   [000] dNh. 38957.010874: vb2_buffer_done <-rkisp_params_cfg_v2x
 xc:isp_3a_stats-26260   [000] ..s. 38957.010956: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [000] .... 38957.011375: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.043942: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.044189: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.044247: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [000] .... 38957.045087: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.077249: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.077509: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.077565: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [000] .... 38957.078002: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
 indicator-print-26823   [000] d.h. 38957.110469: vb2_buffer_done <-rkisp_stats_send_meas_v21
 indicator-print-26823   [000] dNh. 38957.110735: vb2_buffer_done <-rkisp_params_cfg_v2x
 xc:isp_3a_stats-26260   [000] ..s. 38957.110827: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38957.111607: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
 indicator-print-26823   [000] d.h. 38957.143745: vb2_buffer_done <-rkisp_stats_send_meas_v21
 indicator-print-26823   [000] dNh. 38957.143995: vb2_buffer_done <-rkisp_params_cfg_v2x
 xc:isp_3a_stats-26260   [000] ..s. 38957.144077: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38957.144507: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
 indicator-print-26823   [000] d.h. 38957.177030: vb2_buffer_done <-rkisp_stats_send_meas_v21
 indicator-print-26823   [000] dNh. 38957.177289: vb2_buffer_done <-rkisp_params_cfg_v2x
 xc:isp_3a_stats-26260   [000] ..s. 38957.177379: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38957.177821: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] dnh. 38957.210319: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dnh. 38957.210569: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.210628: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38957.212589: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.243635: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.243880: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.243927: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [000] .... 38957.244396: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38957.276974: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38957.277232: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.277277: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [001] .... 38957.277711: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.310234: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.310492: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.310553: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [000] .... 38957.310970: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.343509: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.343761: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.343815: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [000] .... 38957.344241: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.376772: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.377026: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.377083: vb2_buffer_done <-rkisp_buf_done_task
